asin,brand,title,url,image,rating,reviewUrl,totalReviews,prices,name,rating,date,verified,title,subject,helpfulVotes,total_bill,tip,sex,offer days,day,time,size
B0029X7UHC,Motorola,Motorola I205 cell phone nextel/Boost,https://www.amazon.com/Motorola-I205-phone-nextel-Boost/dp/B0029X7UHC,https://m.media-amazon.com/images/I/81RGb1X2dpL._AC_UY218_SEARCH213888_FMwebp_QL75_.jpg,2.9,https://www.amazon.com/product-reviews/B0029X7UHC,2,$99.95 ,habblie,4,12/25/2004,FALSE,"works great, but don't dropt it","I've had this phone for over a year and I really like it. Having never been partial to flip phones, I can appreciate this Nokia's features. The color screen is very nice and all of the features are easy to use. The keylock is a simple two-button sequence though I do wish it had a timer for the keylock like my old phone. It has a lot of useful features, like a calculator, organizer, stopwatch and alarm, but the three games it has are too lame to play. The customizable features are nice, but lacking in variety. This isn't the ideal phone for a guy. You're few options are pretty girly. The ringtones also lack something to be desired, but there are a few decent ones. The battery life is pretty good, nothing special, but definitely not bad. It gets me through the average day without problems and sometimes lasts for several days. My parents, sisters, and husband all got fancy Samsung flip phones with cameras and all the toys, and I must say mine works better. The battery lasts MUCH longer and the recpetion is MUCH better. The downside to this cute phone is the case. It's made of very weak plastic that cracked in a few months. Also, if you're thinking about getting a different case for it, DON'T! Once you take it off, it will keep slipping off. It never attaches firmly again, and neither does the new case you bought. I've read this in other reviews too. Because of this, the last time I dropped it the back piece popped off and the battery flew out. Now my phone has issues. Drat. Overall, it's a great phone, if you're content with the simpler things in life. Who really uses the camera on thier phone anyway? I just reccommend buying a protective case for it and leaving it on and don't drop the delicate thing.",1,10.27,1.71,Male,YES,Sun,Morning,2
B002AS9WEA,Samsung,Samsung a167 Prepaid GoPhone (AT&T),https://www.amazon.com/Samsung-a167-Prepaid-GoPhone-AT/dp/B002AS9WEA,https://m.media-amazon.com/images/I/61OXcZ-oefL._AC_UY218_SEARCH213888_FMwebp_QL75_.jpg,2.9,https://www.amazon.com/product-reviews/B002AS9WEA,18,$149.95 ,Zachary O. Toups,1,11/29/2004,FALSE,"Slow, annoying, fragile, heavy, and bulky...","1.) Slow - If you want to check your missed calls list, this phone feels compelled to inform you whether or not there are any new calls in the list...it does this for about 20 seconds. Of course, it will take you half a second to read the message...and you probably don't care about what it says. 2.) Annoying - Ever had anyone scream in your ear? That's a sensation I get from this phone on a regular basis. It has the nice ability to attach a voice tag to a phone number...a useful feature...when it works. About 80% of the time, it recognizes the number I ask for, the other 20% it lets me know that it doesn't understand...by screeching (next to my head). Want to know what that feels like with your phone? Turn the ringer up to the highest setting, hold the phone next to your ear, call your phone. Not pleasant. Add to this the fact that when you're searching one of the numerous menus on the phone (menus that have at least 5 items in them), the menu system uses up a whole screen to display one line of text. It has three lines available to it...but it uses one. What's next? What did you just pass? Go back and look, can't find out another way! 3.) Fragile - My phone is cracked. Why you ask? Because I took off the battery cover. Why did you take off the battery cover you ask? Because I wanted to write this review and that was the only way to find out the model number. 4.) Heavy - Speaks for itself...the phone weighs way too much. 5.) Bulky - Again, like heavy, speaks for itself. My recommendation: buy a better phone. This one will only make you cry at night.",4,35.26,5,Female,YES,Sun,Morning,4
B002UHS0UI,Motorola,Verizon Wireless Motorola RAZR V3m - Silver,https://www.amazon.com/Verizon-Wireless-Motorola-RAZR-V3m/dp/B002UHS0UI,https://m.media-amazon.com/images/I/61pVtPaTkML._AC_UY218_SEARCH213888_FMwebp_QL75_.jpg,2.8,https://www.amazon.com/product-reviews/B002UHS0UI,201,,EYS,2,9/8/2004,FALSE,Worth paying more for something else.,"I bought this phone about a year ago and have been using it ever since, on the Sprint PCS network, to replace an old TP2100. The first time I bought it, the phone was defective, so I had to get it replaced after a few days. I liked the phone okay at first, but I really wish I can go back in time and buy a better phone. Several issues: *mediocre reception. *rather bulky and unattractive. *cheap feel, cheaply made, cheap materials. *screen not easily visible in bright sunlight. *battery life marginal. I will go into a little detail about a few things. I get okay reception on this phone. It is NOT GOOD reception. The phone will work in areas where there is a good signal, but in areas with a marginal signal, such as my apartment, the phone will drop calls left and right, and fade in and out about 5 seconds of every minute (this is outside, so interference from the building is not the cause). In my residence, I use my husband's Sanyo, as it gets an excellent signal, and doesn't drop nearly as many calls. I have had Sprint check out the phone, and they say it is working correctly. I can only assume it is the poor quality of the phone that is to blame. The phone is quite big for what I would expect from a modern phone, with no camera. In a small purse, it takes up a lot of room. What is more important is that the phone is cheaply made, and has a cheap feel to it. It's made out of rather flimsy plastic. I dropped the phone once onto concrete from about 3 feet up, and the antenna head got a crack in it and a corner of the phone got serious scratches. Also, the screen can be difficult to read in bright sunlight, but it's quite bright otherwise. As far as battery life goes, it's not that great. I've gone to bed with the battery half full and have woken up to a dead phone. I believe the poor reception in my immediate area is to blame, as the phone searches for a signal and that takes battery time. Talk time is decent. Pros: *LOUD ringer *lots of features, but I rarely use them.",5,15.42,1.57,Male,YES,Sun,Morning,2
B003FCO9XE,Samsung,Samsung Smooth Verizon Wireless Prepaid Mobile Cell Camera Phone CDMA,https://www.amazon.com/Samsung-Smooth-Verizon-Wireless-Prepaid/dp/B003FCO9XE,https://m.media-amazon.com/images/I/61nD-TYqHmL._AC_UY218_SEARCH213888_FMwebp_QL75_.jpg,2.8,https://www.amazon.com/product-reviews/B003FCO9XE,76,,brittho,4,8/17/2004,FALSE,Great free phone for Sprint customers.,This is an excellent choice for Sprint to use when enrolling new customers for service. It is the free option for most new customers and it has been excellent after a year of ownership. I love how it lights up when someone is calling which helps to really find the phone quickly when you are in the dark. If you have the phone in a purse it really makes it easy to find due to this fact. The Nokia phone seems to be tougher to me than the Samsung phones at the Sprint store also. So my only issue with the phone is the fact that since it is not a flip phone the keypad must be locked before I drop the phone in my pants pocket. This can be annoying if you get used to owning a flip phone before moving to the Nokia.,1,18.43,3,Male,YES,Sun,Morning,4
B003MW0OIQ,Samsung,Samsung a107 Prepaid GoPhone (AT&T),https://www.amazon.com/Samsung-a107-Prepaid-GoPhone-AT/dp/B003MW0OIQ,https://m.media-amazon.com/images/I/71QGO7a7YNL._AC_UY218_SEARCH213888_FMwebp_QL75_.jpg,2.6,https://www.amazon.com/product-reviews/B003MW0OIQ,131,,Marcel Thomas,1,3/5/2016,TRUE,Stupid phone,DON'T BUY OUT OF SERVICE,,14.83,3.02,Female,YES,Sun,Morning,2
B003P2VNAQ,Samsung,"Samsung Rugby II, Black (AT&T)",https://www.amazon.com/Samsung-Rugby-II-Black-AT/dp/B003P2VNAQ,https://m.media-amazon.com/images/I/81RAS6NJR5L._AC_UY218_SEARCH213888_FMwebp_QL75_.jpg,3.2,https://www.amazon.com/product-reviews/B003P2VNAQ,66,,William B.,4,2/9/2006,FALSE,Exellent Service,I have been with nextel for nearly a year now I started out this time last year with the Motorola i205 and just upgraded to the i265 it is one of the best phones I have ever had the service is the best I have ever had I have no problems making or reciving calls. If you are considering nextel give it a shot they are in my opinion the best cell company out there.,,21.58,3.92,Male,YES,Sun,Morning,2
B003W646YK,Motorola,Motorola i570 Nextel iDen PTT rugged black cell phone,https://www.amazon.com/Motorola-i570-Nextel-rugged-black/dp/B003W646YK,https://m.media-amazon.com/images/I/51oFJfZ-LcL._AC_UY218_SEARCH213888_FMwebp_QL75_.jpg,2.9,https://www.amazon.com/product-reviews/B003W646YK,3,$79.00 ,K. Mcilhargey,5,2/7/2006,FALSE,I love it,"I just got it and have to say its easy to use, i can hear the person talking just fine and i have had no problems dealing with nextel.",,10.33,1.67,Female,YES,Sun,Morning,3
B003XREZ4O,Samsung,"Samsung Gusto, Black (Verizon Wireless)",https://www.amazon.com/Samsung-Gusto-Black-Verizon-Wireless/dp/B003XREZ4O,https://m.media-amazon.com/images/I/8119wz+eORL._AC_UY218_SEARCH213888_FMwebp_QL75_.jpg,2,https://www.amazon.com/product-reviews/B003XREZ4O,15,,Stephen Cahill,1,12/20/2016,TRUE,Phones locked,1 star because the phones locked so I have to pay additional fees to unlock it,,16.29,3.71,Male,YES,Sun,Morning,3
B004C7NVD0,Samsung,Samsung Convoy SCH-U640 Cell Phone Ruggedized PTT 2+ megapixel Camera for Verizon,https://www.amazon.com/Samsung-SCH-U640-Ruggedized-megapixel-Verizon/dp/B004C7NVD0,https://m.media-amazon.com/images/I/61ve0RjDSUL._AC_UY218_SEARCH213888_FMwebp_QL75_.jpg,3.4,https://www.amazon.com/product-reviews/B004C7NVD0,102,,Mihir,5,12/13/2009,TRUE,Excellent product,The product has been very good. I had used this cell phone in one of my projects and it worked wonders. I will definitely recommend this to anyone interested in buying it....,,16.97,3.5,Female,YES,Sun,Morning,3
B004GLQTG8,Samsung,Samsung R355C Net 10 Unlimited,https://www.amazon.com/Samsung-R355C-Net-10-Unlimited/dp/B004GLQTG8,https://m.media-amazon.com/images/I/51p8LMQ-rIL._AC_UY218_SEARCH213888_FMwebp_QL75_.jpg,3.5,https://www.amazon.com/product-reviews/B004GLQTG8,146,$79.99 ,L. Hughes,1,7/21/2005,FALSE,WARNING,"My problems with nextel did not stop when I canceled my service. I will get to the problems with the service. When I went to get a new phone a day before my contract expired, I of course wanted to keep my number. So as I went to get my Cingular phone (highly recommended), I had the old number switched to my new number. Today, I get in the mail my nextel statement for the month with a $200 early termination even though I had not canceled my service, but had simply got a new phone and switched my number over. This was on icing on the cake after 2 years of absolutely amazingy bad service from nextel. In my town, not a small town by any means, there are very few places that have any service. In the largest subdivision, you cannot get service anywhere. I constantly get comments from people trying to reach me that get the classic nextel line...Please hold while the nextel subscriber you are trying to reach is located. Most of the time I would not even recieve incoming calls, calls would go straight to my voice mail. Not only would I not get the calls, but often I would not even get the voice mails until days or even weeks later. When I did actually take calls (and call out), I cannot count the number of times I've had my call dropped. I recieved so many different error messages sometimes I wonder if they just spend all their time at nextel thinking of different error messages to program into their phones. That brings me to the selling point of nextel, the famed and well-loved direct connect feature. This is an absolute joke. Direct connect only works MAYBE half the time I tried to use it. Even then, in the middle of the conversation I would be greeted by the loud beep of my phone telling me I wont be talking to that person anymore. Of course, I would expect nothing less from the nextel network. Text messaging with nextel is next to impossible. If it did not take hours to send or recieve a message, it took days, or maybe didn't even come at all. The internet access was fine, it the rare instance that it worked. Of course, when you don't have service, you don't get the internet access either. I was constantly getting the message ""network not available"". Calling and trying to complain to nextel is futile. Trying to get through to customer service takes forever and once you get through they do nothing. My experience with nextel has been nothing short of a disaster and I write this trying to warn anyone considering nextel. Stick with Verizon or Cingular and you will be much happier in the end. Don't make the same mistake I did.",,20.65,3.35,Male,YES,Sat,Morning,3
B004H23JXW,Samsung,"Samsung Focus I917 Unlocked Phone with Windows 7 OS, 5 MP Camera, and Wi-Fi--No Warranty (Black)",https://www.amazon.com/Samsung-I917-Unlocked-Wi-Fi-No-Warranty/dp/B004H23JXW,https://m.media-amazon.com/images/I/81v2NUARf6L._AC_UY218_SEARCH213888_FMwebp_QL75_.jpg,3.4,https://www.amazon.com/product-reviews/B004H23JXW,348,,1 Stop 4 Whats HOT,5,6/27/2009,FALSE,NEXTEL BOOST PHONE,GREAT PRODUCT THAT IS AS GREAT FOR NEXTEL AS IT IS FOR BOOST INSERT YOUR SIM & GO!,,17.92,4.08,Male,YES,Sat,Morning,2
B004UVR9A4,Samsung,Samsung Factor Prepaid Phone (Boost Mobile),https://www.amazon.com/Samsung-Factor-Prepaid-Phone-Mobile/dp/B004UVR9A4,https://m.media-amazon.com/images/I/81AkHig97BL._AC_UY218_SEARCH213888_FMwebp_QL75_.jpg,3.4,https://www.amazon.com/product-reviews/B004UVR9A4,56,,Thomas,4,9/17/2010,TRUE,"Nice, but","I bought this phone to replace an LG phone that I didn't like. As I expected, all I had to do was put the old SIM card in the new phone and it worked. There are two serious drawbacks to this device, both related to the candy bar style. First, all the buttons are exposed, so it's easy to hit one accidentally. Second, the screen is easily scratched. This one got scratched making it difficult to read in sunlight. Aside from those two flaws, the phone works great. Connectivity, battery life, and quality of voice are superb. Since I don't do texting I can't comment on that. It is nice and small, and if it came with a case, or if I could find a case for it, then it would be perfect for my needs. The price was right. Now I have a new SIM card with $10 worth of calling on it that I don't need.",,20.29,2.75,Female,YES,Sat,Morning,2
B004Y0TNRS,Motorola,Motorola VU204 No Contract Camera Bluetooth Cell Phone Verizon Wireless,https://www.amazon.com/Motorola-VU204-Contract-Bluetooth-Wireless/dp/B004Y0TNRS,https://m.media-amazon.com/images/I/71sZt7Mum5L._AC_UY218_SEARCH213888_FMwebp_QL75_.jpg,2.7,https://www.amazon.com/product-reviews/B004Y0TNRS,73,,"Kei, San Jose, CA",1,5/13/2017,TRUE,It seems it doesn't work with the existing AT&T SIM card.,"I purchased this phone for my AT&T phone replacement, even though one of the FAQ mentioned it works with AT&T SIM, in my case, it didn't. Since this is my primary phone, in stead of spending time to see the reason, I'll go with other phone, which specifically says it's ""unlocked"".",,15.77,2.23,Female,YES,Sat,Morning,2
B004YBP8EY,Samsung,Samsung SA-S5260WESP Cellphone - Unlocked Phone - US Warranty - White,https://www.amazon.com/Samsung-SA-S5260WESP-Cellphone-Unlocked-Warranty/dp/B004YBP8EY,https://m.media-amazon.com/images/I/41S2alAozSL._AC_UY218_SEARCH213888_FMwebp_QL75_.jpg,3.1,https://www.amazon.com/product-reviews/B004YBP8EY,23,,MARIO GAUTIER,5,5/1/2017,TRUE,Five Stars,SERVED ME WELL AS A BACK UP PHONE.,,39.42,7.58,Male,YES,Sat,Morning,4
B0052OL576,Motorola,Motorola Clutch i475 Prepaid Phone (Boost Mobile),https://www.amazon.com/Motorola-Clutch-i475-Prepaid-Mobile/dp/B0052OL576,https://m.media-amazon.com/images/I/61RNJ+DulwL._AC_UY218_SEARCH213888_FMwebp_QL75_.jpg,3.2,https://www.amazon.com/product-reviews/B0052OL576,8,$59.95 ,Kristy,1,3/13/2019,TRUE,Supply are needed,The phone did not come with a charger and didn't have a sims card.,,19.82,3.18,Male,YES,Sat,Morning,2
B005JGSVCE,Samsung,Verizon or PagePlus amsung Haven U320 CDMA Cell Phone Dark Grey New No Contract,https://www.amazon.com/Verizon-PagePlus-amsung-U320-Contract/dp/B005JGSVCE,https://m.media-amazon.com/images/I/51vESAKZIVL._AC_UY218_SEARCH213888_FMwebp_QL75_.jpg,3.5,https://www.amazon.com/product-reviews/B005JGSVCE,199,,R-Dash,3,2/10/2009,TRUE,does the job,I got this phone just as secondary cell phone. It is really lightweight and very cheap. The receiption is good. But most of the time a windy noise is heard when somebody is calling to this cell phone.,,17.81,2.34,Male,YES,Sat,Morning,4
B005WJJKE6,HUAWEI,Huawei Pinnacle Prepaid Phone (MetroPCS),https://www.amazon.com/Huawei-Pinnacle-Prepaid-Phone-MetroPCS/dp/B005WJJKE6,https://m.media-amazon.com/images/I/81cfooX2oNL._AC_UY218_SEARCH213888_FMwebp_QL75_.jpg,3,https://www.amazon.com/product-reviews/B005WJJKE6,28,$59.99 ,John R. Risden,4,1/19/2011,TRUE,Awesome with a But!!,Sturdy - clarity is great - easy to use Only problem - no Speaker option...... Big issue for me but im living with it atm.,,13.37,2,Male,YES,Sat,Morning,2
B006OU39QW,Samsung,Verizon Samsung Convoy U660 No Contract Rugged PTT Cell Phone Grey Verizon,https://www.amazon.com/Verizon-Samsung-Convoy-Contract-Rugged/dp/B006OU39QW,https://m.media-amazon.com/images/I/61rvyD+XtkL._AC_UY218_SEARCH213888_FMwebp_QL75_.jpg,4,https://www.amazon.com/product-reviews/B006OU39QW,248,$109.99 ,Amazon Customer,1,2/3/2017,TRUE,One Star,Phone stoped working,,12.69,2,Male,YES,Sat,Morning,2
B006VH79R8,Samsung,Samsung Replenish Prepaid Android Phone (Boost Mobile),https://www.amazon.com/Samsung-Replenish-Prepaid-Android-Mobile/dp/B006VH79R8,https://m.media-amazon.com/images/I/41Z0ow6IIZL._AC_UY218_SEARCH213888_FMwebp_QL75_.jpg,3.5,https://www.amazon.com/product-reviews/B006VH79R8,83,$99.99 ,New York,5,5/23/2013,TRUE,Is cheap but ok quality,It does a beautiful job. I have used this item with my att account. its good to see my bill so little and avoided big amount of bills..i would recommend this product to any body. Very good quality it really met my expectations,,21.7,4.3,Male,YES,Sat,Morning,2
B00727AODC,Samsung,"Samsung Focus Flash I677 8GB Unlocked GSM Phone with Windows 7.5 OS, 5MP Camera, GPS, Wi-Fi, Bluetooth and FM Radio - Black",https://www.amazon.com/Samsung-I677-Unlocked-Windows-Bluetooth/dp/B00727AODC,https://m.media-amazon.com/images/I/81O5HRPD1gL._AC_UY218_SEARCH213888_FMwebp_QL75_.jpg,3.1,https://www.amazon.com/product-reviews/B00727AODC,123,,Trevor Arms,1,2/11/2014,TRUE,This phone gave me a concussion. and may come with a faulty battery.,"I asked my friend to toss me my phone, but what he heard was ""Hey, throw that phone as hard as you can at my head"", so he did. Hit me square in the temple and I dropped. Needless to say this is a very sturdy phone, very simple and easy to use, long battery life (Like really long, like Stretch Armstrong long), takes being dropped and smacked around like a champ. If this phone was my son, i'd be proud, and afraid. The texting takes a little to get used to, but I digress. Smart Phones are for dummies. P.S you can create your own ringtones on this phone, provides way more entertainment than Flappy Bird.",,19.65,3,Female,YES,Sat,Morning,2
B007LU0HU0,Samsung,Samsung Replenish SPH-M580 Blue No Contract Sprint Cell Phone,https://www.amazon.com/Samsung-Replenish-SPH-M580-Contract-Sprint/dp/B007LU0HU0,https://m.media-amazon.com/images/I/814X9g3snHL._AC_UY218_SEARCH213888_FMwebp_QL75_.jpg,2.5,https://www.amazon.com/product-reviews/B007LU0HU0,10,,kalani,3,7/22/2014,TRUE,Three Stars,way too small,,9.55,1.45,Male,YES,Sat,Morning,2
B007P736SE,Samsung,Samsung Focus i917 GSM 3G Windows Phone 7 Smartphone AT&T New,https://www.amazon.com/Samsung-Focus-Windows-Phone-Smartphone/dp/B007P736SE,https://m.media-amazon.com/images/I/81s0xgVWDOL._AC_UY218_SEARCH213888_FMwebp_QL75_.jpg,2.8,https://www.amazon.com/product-reviews/B007P736SE,20,$118.80 ,zzzzzzzzzz,5,4/10/2008,FALSE,Tough phone,"We never use cell phones, but thought we needed one for a long road trip. With our last phone we were always irritated that the battery seemed to be dead every time we tried to use it. Based on reviews, we chose this phone. Battery life is great! And the phone really does handle abuse very well. My husband forgot it was in his shirt pocket. The phone went through the washer and dryer and still works as well as ever!! I'm not sure how it would work as an everyday phone, but for those who only need it occasionally I would highly recommend. It will be there, charged and ready when you need it.",,18.35,2.5,Male,YES,Sat,Morning,4
